id | url | detected_activity | severity | timestamp
121 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-22 10:49:42
122 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-22 10:50:43
123 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-22 10:51:39
124 | http://hiddengvk2ka4p5epjjvrmy6kikeos43weo5rrasvbd2tlgdijygubqd.onion/porn-haker | hidden marketplace | Medium | 2024-11-22 10:53:17
125 | http://shopj57b64bbxtqs3ji4qj7bwmzomxa7y6epky3gu2n5qqhy26slejad.onion/product-category/drugs/ | hidden marketplace | Medium | 2024-11-22 10:55:49
126 | http://docuy2acomn6bilcx2qm4gvc4l6s2q5vtyyg6m2uxv64jm4fo6gb7zid.onion/product-category/buy-guns/ | explosives | High | 2024-11-22 10:57:47
127 | http://wvaelbpvuh4x6lldesvkkycelyrt3vrzlig7ktujqkyoga4h6ypvzjqd.onion/product-category/guns/ | black market | High | 2024-11-22 10:58:31
128 | http://libertywigaxfplcwymrpbgwcnyelzu42r4lchpp7h4onr4c4dnwndad.onion/ | ammunition | High | 2024-11-22 10:59:23
129 | http://wbz2lrxhw4dd7h5t2wnoczmcz5snjpym4pr7dzjmah4vi6yywn37bdyd.onion/ | cocaine | High | 2024-11-22 11:04:35
130 | http://s57divisqlcjtsyutxjz2ww77vlbwpxgodtijcsrgsuts4js5hnxkhqd.onion/ | carding | High | 2024-11-22 11:05:27
131 | http://emarketzhfjehkqd53lnjgmtvbf7tseydias4rjpazwifiqcotoi2gad.onion/product-category/porn/ | carding | High | 2024-11-22 11:06:21
132 | http://hiddengvk2ka4p5epjjvrmy6kikeos43weo5rrasvbd2tlgdijygubqd.onion/porn-haker | hidden marketplace | Medium | 2024-11-22 11:08:40
